Agency_Code,Agency_Name,Data_Disclaimers,Inflow/Outflow ,Additional_Data_Notes,Access_ Date,Access_Type
LCRA,Little Colorado River Authority (Texas),Note that there limitations to record available as well (such as hydroelectric data only in early years) and data estimated from daily records. These limitations are documented in the data files. Please take care in usage or publication of this data without those note.,Aggregated spatially,Inflow is given from the following stream gages and drainage area ratios: Colorado River near San Saba (08147000; 1.035); Llano River at Llano (08151500; 1.080);Sandy Creek near Kingsland (08152000; 1.350); Perdernales River near Johnson City (08153500; 2.030),Summer 2020,personal communication
DENW,Denver Water,"DISCLAIMER: Denver Water provides data and metadata as a public service with no claim as to the completeness, usefulness, timeliness or accuracy of its content, positional or otherwise. Denver Water and its employees make no warranty, express or implied, and assume no legal liability or responsibility for the ability of users to fulfill their intended purposes in accessing or using data or metadata or for omissions in content regarding such. The information provided is presented “as is,” without warranty of any kind, including, but not limited to, the implied warranties of merchantability, fitness for a particular purpose, or non-infringement. Your use of this information is at your own risk. In providing this information or access to it, Denver Water assumes no obligation to assist the user in the use of such information or in the development, use, or maintenance of any applications applied to or associated with the data or metadata.",Real time,Evaporation listed is gross evaporation.,Summer 2020,personal communication
CNPPID,Central Nebraska Public Power and Irrigation District,Some of the inflow and outflows for Jeffery and Johnson Reservoirs are approximate,Real time,"The approximations for Jeffrey: inflow = diversion - losses upstream; outflow = losses - approximate inflow; for Johnson Lake, all data before 5-31-1998 is approximate; data after this period is real-time",Summer 2020,personal communication
ENKEP,Energy Keepers Inc.,NA,Inflow is aggregated spatially from 4 streamgages:12363000; 12365700; 12366000; 12370000   ; outflow and elevation were also gathered from stream gages: outflow: 12372000; elevation:12371550,"Storage was linearly interpolated from provided storage elevation table. The stream gages used are 12363000, 12365700, 12370000, 12366000 for inflow, 12371550 for elevation, and 12372000 outflow",Summer 2020,"personal communication, data downloaded form https://nwis.waterdata.usgs.gov/nwis"
SCL,Seattle City Light,"This represents SCL's best efforts to calculate Ross Lake and Diablo Lake daily hydrological records from electronically stored data. Errors could still be present, and users of the data should be aware of this possibility.",Real time,NA,Summer 2020,personal communication
DUK_EN,Duke Energy,NA,Real time,All elevations are at local datum that depends on the reservoir. Daily release was aggregated from streamgages denonted in the time_series_inventory.,Fall 2020,personal communication
CAN,Government of Canada Water Data,NA,Real time,NA,Spring 2021,website download: https://wateroffice.ec.gc.ca/search/historical_e.html
SAN,Santee Cooper: South Carolina Public Service Authority,NA,Aggregated spatially from streamgages,Storage for Lake Marion was linearly interpolated using storage elevation relationships. All data was downloaded from USGS streamgages (Elevation: Lake Marion: 02171000; Lake Moultrie:  02172000; Inflow: Wateree River: 02148000; Camden River: 02148000; Ft. Motte: 02169810; Outflow: Cooper River: 02172002; Santee River: 02171500; Rediv Canal: 02171645; Santee + Red: 02171700,Spring 2021,"personal communication to get stream gages, data downloaded from https://nwis.waterdata.usgs.gov/nwis"
MIN,Minnesota Power,NA,Real time,NA,Spring 2021,personal communication
PRVWD,Pearl River Valley Water Supply District,,Real time,Storage was linearly interpolated using storage elevation charts.,Fall 2020,personal communication
SWFMD,South Florida Water Management District,,Real time,All values were downloaded from the SFWMD's data repository.,Spring 2021,website download: https://my.sfwmd.gov/dbhydroplsql/show_dbkey_info.show_station_info?v_station=L%25
MWRA,Massachusetts Water Resources Authority,,Aggregated temporally ,NA,Fall 2020,personal communication
